accs
70.8
68.6
70.8
66.4
68.2
68.4
69.4
69.0
67.4
68.4
71.0
69.2
74.6
72.8
74.4
69.2
74.4
73.0
70.2
70.4
71.0
68.2
69.9
70.6
71.9
70.8
67.4
72.1
72.8
70.7
72.7
73.2
71.9
74.3
74.0
73.6
74.1
74.7
70.9
73.2
74.5
73.8
