accs
48.24
49.6
50.44
58.0
58.12
59.72
61.68
62.12
63.8
61.28
65.08
62.04
64.88
66.36
64.08
67.48
67.4
69.16
69.16
70.24
67.44
68.32
68.92
68.76
69.32
71.24
70.8
72.44
73.0
71.8
71.04
71.8
70.84
71.48
70.48
72.28
73.88
72.44
71.0
73.84
73.56
73.08
74.8
73.12
73.84
72.84
74.96
73.08
73.2
73.84
72.16
