accs
50.6
56.1
54.4
65.0
61.0
67.2
60.3
66.9
64.5
67.0
62.9
68.6
66.9
70.2
69.0
68.5
66.4
71.6
70.6
68.1
67.6
69.9
70.3
69.1
71.9
69.8
70.4
71.5
68.8
72.8
74.6
69.6
72.5
71.8
71.7
68.7
