accs
46.2
56.8
52.2
57.2
57.8
58.0
58.0
57.2
58.4
53.4
56.6
60.2
58.8
60.0
57.6
62.6
60.2
62.4
59.4
60.6
62.0
60.5
60.3
61.9
63.8
64.0
65.5
63.0
66.9
65.1
65.3
68.1
66.7
64.0
66.5
64.9
64.7
67.5
65.8
66.2
66.3
67.4
71.6
71.33333333333333
71.4
71.26666666666667
71.06666666666666
70.86666666666666
71.66666666666667
73.93333333333334
72.66666666666667
73.53333333333333
72.33333333333333
71.8
74.33333333333333
73.26666666666667
74.0
73.0
74.2
73.6
73.4
74.4
74.26666666666667
69.7
70.8
70.3
71.0
70.35
71.05
71.6
71.85
72.0
71.85
71.05
70.4
71.05
71.9
71.5
71.55
71.95
72.5
71.75
72.65
72.5
75.0
74.32
75.56
74.76
74.32
73.76
74.8
74.52
75.2
74.84
75.08
74.96
75.16
75.44
75.56
75.28
75.2
75.8
75.04
75.88
76.4
