accs
60.4
59.4
68.5
64.1
69.2
65.9
70.6
68.1
71.4
71.0
71.6
73.3
73.9
72.1
70.7
69.7
71.7
69.9
73.8
72.4
71.6
71.1
73.4
74.6
72.1
71.3
74.2
74.0
72.7
75.8
74.9
75.1
73.8
72.3
73.9
74.9
