accs
67.5
73.0
75.5
69.5
66.0
75.5
72.5
74.5
74.5
76.0
74.5
76.5
74.5
74.0
75.0
77.5
78.0
79.0
75.5
72.5
72.5
62.5
70.25
74.25
74.0
75.75
73.25
71.75
75.0
71.0
75.25
72.75
74.25
74.5
74.5
76.5
75.5
75.75
78.5
73.75
76.0
77.0
75.5
74.83333333333333
77.16666666666667
77.16666666666667
71.33333333333333
77.83333333333333
75.83333333333333
73.66666666666667
75.16666666666667
73.83333333333333
75.83333333333333
78.16666666666667
76.66666666666667
74.83333333333333
76.66666666666667
75.83333333333333
76.66666666666667
78.5
78.33333333333333
77.33333333333333
76.83333333333333
75.25
74.75
74.5
74.5
74.875
74.5
75.25
73.25
75.0
72.875
74.625
75.125
75.625
76.0
74.625
74.25
76.875
76.375
76.0
75.75
76.375
72.6
73.3
73.5
72.0
74.6
74.3
74.7
74.0
74.6
73.7
73.2
72.6
74.3
74.2
72.8
74.4
74.4
74.4
73.9
74.2
74.7
